Date,Year,Month,Day,Day of the Year,E51
2002-07-13,2002,7,13,194,136.998578
2002-07-28,2002,7,28,209,109.5894298
2002-08-18,2002,8,18,230,51.26436876
2002-09-03,2002,9,3,246,54.12752892
2002-09-16,2002,9,16,259,58.85969009
2002-10-03,2002,10,3,276,15.65141258
2002-10-21,2002,10,21,294,2.754970767
2002-11-07,2002,11,7,311,15.29821258
2003-05-15,2003,5,15,135,-3.980882162
2003-06-05,2003,6,5,156,5.582687034
2003-06-22,2003,6,22,173,24.36590523
2003-07-06,2003,7,6,187,46.11471848
2003-07-20,2003,7,20,201,83.52831035
2003-08-03,2003,8,3,215,3.00103885
2003-08-17,2003,8,17,229,25.0267094
2003-09-03,2003,9,3,246,165.0583132
2003-09-17,2003,9,17,260,11.38049158
2003-10-07,2003,10,7,280,42.58868577
2003-10-26,2003,10,26,299,10.35440658
2004-05-16,2004,5,16,137,2.698468074
2004-06-02,2004,6,2,154,60.00122906
2004-06-17,2004,6,17,169,66.60606253
2004-07-07,2004,7,7,189,76.94553509
2004-07-21,2004,7,21,203,6.481948851
2004-08-08,2004,8,8,221,102.6185142
2004-08-24,2004,8,24,237,64.63046737
2004-09-11,2004,9,11,255,33.99688652
2004-09-26,2004,9,26,270,146.5099681
2004-10-08,2004,10,8,282,17.21561402
2004-10-26,2004,10,26,300,14.59288278
2004-11-16,2004,11,16,321,1.466893207
2005-05-15,2005,5,15,135,1.756891637
2005-06-10,2005,6,10,161,13.10301801
2005-06-28,2005,6,28,179,223.4103337
2005-07-11,2005,7,11,192,248.8285969
2005-07-31,2005,7,31,212,171.4473836
2005-08-14,2005,8,14,226,124.683687
2005-08-28,2005,8,28,240,106.3920395
2005-09-12,2005,9,12,255,17.91276424
2005-09-27,2005,9,27,270,17.59687038
2005-10-20,2005,10,20,293,-1.300727904
2005-11-05,2005,11,5,309,1.95E-11
2005-11-28,2005,11,28,332,1.79E-11
2006-05-08,2006,5,8,128,0.245001556
2006-06-05,2006,6,5,156,16.40590299
