Date,Year,Month,Day,Day of the Year,K42
2011-09-07,2011,9,7,250,2036.856932
2011-09-20,2011,9,20,263,1424.689487
2011-10-08,2011,10,8,281,968.4387862
2011-10-22,2011,10,22,295,16.99519492
2011-11-05,2011,11,5,309,28.76655497
2011-11-26,2011,11,26,330,22.4882751
2012-04-03,2012,4,3,94,1.530788588
2012-04-28,2012,4,28,119,10.46094422
2012-05-26,2012,5,26,147,636.2003252
2012-06-09,2012,6,9,161,790.4318636
2012-06-27,2012,6,27,179,1400.691767
2012-07-10,2012,7,10,192,2188.636555
2012-07-20,2012,7,20,202,2887.782248
2012-08-01,2012,8,1,214,2862.567836
2012-08-11,2012,8,11,224,2703.201974
2012-08-22,2012,8,22,235,2277.68972
2012-09-07,2012,9,7,251,2556.657031
2012-09-25,2012,9,25,269,1050.783153
2012-10-16,2012,10,16,290,269.8026666
2012-11-05,2012,11,5,310,-13.18961665
2012-11-21,2012,11,21,326,16.43536762
