"","x"
"407",2216.03306544406
"408",1899.75544727577
"409",2235.12666579722
"410",2062.66265999259
"411",1414.90138422126
"412",891.661985991849
"413",488.093705614756
"414",2.14355447255178
"415",66.2908709779295
"416",0.676610926735683
"417",59.5232739650715
"418",227.405104572154
"419",741.689933970721
"420",1389.00030299095
"421",1915.56261055391
"422",1503.9581707867
"423",2469.09025967658
"424",1529.68633285616
"425",1803.62720922277
"426",1262.5524350471
"427",842.56486005134
"428",14.7511543316325
"429",23.3278855057148
"430",19.6653340884764
"431",1.06699950681713
"432",9.39137109252759
"433",583.961887726957
"434",724.60994372156
"435",1287.15655405845
"436",1990.04659379633
"437",2594.91563009321
"438",2580.28033306016
"439",2422.0734804899
"440",2042.50783525463
"441",2293.66384284002
"442",925.659183461505
"443",221.895499122059
"444",-13.2661179502076
"445",14.9394717188761
